nurse,target,plot,rii_medf,rii_medalt
jupreta,aroeira,20,0.038277116400,0.038277116400
jupreta,aroeira,22,-0.043876262800,-0.043876262800
jupreta,aroeira,98,-0.089023109300,-0.089023109300
jupreta,aroeira,125,-0.156845238000,-0.156845238000
jupreta,aroeira,126,0.212500000000,0.212500000000
jupreta,cating,20,0.250000000000,0.250000000000
jupreta,cating,22,0.387996031800,0.387996031800
jupreta,cating,98,-0.188228438300,-0.188228438300
jupreta,cating,125,-0.016666666600,-0.016666666600
jupreta,cating,126,0.150000000000,0.150000000000
marmeleiro,angico,25,0.048611111100,0.048611111100
marmeleiro,angico,48,-0.129464285800,-0.129464285800
marmeleiro,angico,51,-0.017857142900,-0.017857142900
marmeleiro,angico,61,0.139393939400,0.139393939400
marmeleiro,angico,72,-0.138257575800,-0.138257575800
marmeleiro,aroeira,25,-0.192028985400,-0.192028985400
marmeleiro,aroeira,48,0.051991758300,0.051991758300
marmeleiro,aroeira,51,0.875000000000,0.875000000000
marmeleiro,aroeira,61,0.236403508800,0.236403508800
marmeleiro,aroeira,72,-0.027649572600,-0.027649572600
marmeleiro,cating,25,0.048611111100,0.048611111100
marmeleiro,cating,48,-0.129464285800,-0.129464285800
marmeleiro,cating,51,-0.017857142900,-0.017857142900
marmeleiro,cating,61,0.139393939400,0.139393939400
marmeleiro,cating,72,-0.138257575800,-0.138257575800
mofumbo,angico,60,-0.024350649400,-0.024350649400
mofumbo,angico,62,-0.135416666600,-0.135416666600
mofumbo,angico,71,-0.191666666600,-0.191666666600
mofumbo,angico,119,0.351190476300,0.351190476300
mofumbo,angico,137,0.000000000000,0.000000000000
mofumbo,aroeira,60,0.566576087000,0.566576087000
mofumbo,aroeira,62,0.111829836900,0.111829836900
mofumbo,aroeira,71,-0.025815217400,-0.025815217400
mofumbo,aroeira,119,0.091129934900,0.091129934900
mofumbo,aroeira,137,-0.625773993800,-0.625773993800
mofumbo,cating,60,-0.024350649400,-0.024350649400
mofumbo,cating,62,-0.135416666600,-0.135416666600
mofumbo,cating,71,-0.191666666600,-0.191666666600
mofumbo,cating,119,0.351190476300,0.351190476300
mofumbo,cating,137,0.000000000000,0.000000000000
mororo,angico,69,0.051091270000,0.051091270000
mororo,angico,79,0.385416666800,0.385416666800
mororo,angico,84,-0.462500000000,-0.462500000000
mororo,angico,93,-0.036363636300,-0.036363636300
mororo,angico,152,-0.097979798000,-0.097979798000
mororo,aroeira,69,0.021022727300,0.021022727300
mororo,aroeira,79,0.026190476100,0.026190476100
mororo,aroeira,84,-0.005555555500,-0.005555555500
mororo,aroeira,93,0.226715686100,0.226715686100
mororo,aroeira,152,-0.101751207800,-0.101751207800
mororo,cating,69,0.051091270000,0.051091270000
mororo,cating,79,0.385416666800,0.385416666800
mororo,cating,84,-0.462500000000,-0.462500000000
mororo,cating,93,-0.036363636300,-0.036363636300
mororo,cating,152,-0.097979798000,-0.097979798000
paubranco,angico,28,0.197916666600,0.197916666600
paubranco,angico,33,0.214285714300,0.214285714300
paubranco,angico,52,0.114880952400,0.114880952400
paubranco,angico,110,0.041666666600,0.041666666600
paubranco,angico,146,-0.303571428600,-0.303571428600
paubranco,aroeira,28,-0.046657509100,-0.046657509100
paubranco,aroeira,33,-0.967803030300,-0.967803030300
paubranco,aroeira,52,-0.183333333300,-0.183333333300
paubranco,aroeira,110,-0.197587719400,-0.197587719400
paubranco,aroeira,146,0.878496503500,0.878496503500
paubranco,cating,28,0.197916666600,0.197916666600
paubranco,cating,33,0.214285714300,0.214285714300
paubranco,cating,52,0.114880952400,0.114880952400
paubranco,cating,110,0.041666666600,0.041666666600
paubranco,cating,146,-0.303571428600,-0.303571428600
pereiro,angico,66,0.373611111000,0.373611111000
pereiro,angico,82,-0.069047619100,-0.069047619100
pereiro,angico,101,0.516071428600,0.516071428600
pereiro,angico,129,0.336805555600,0.336805555600
pereiro,angico,147,-0.025297619100,-0.025297619100
pereiro,aroeira,66,0.138888888900,0.138888888900
pereiro,aroeira,82,0.251459067800,0.251459067800
pereiro,aroeira,101,-0.064348371000,-0.064348371000
pereiro,aroeira,129,0.215851449100,0.215851449100
pereiro,aroeira,147,0.155308614800,0.155308614800
pereiro,cating,66,0.373611111000,0.373611111000
pereiro,cating,82,-0.069047619100,-0.069047619100
pereiro,cating,101,0.516071428600,0.516071428600
