plot,espnurse,target,variable,crescf,cresca
111,angico,cating,taxa,-0.0609756098,-0.0487804878
111,angico,aroeira,taxa,-0.1219512195,-0.0243902439
58,angico,angico,taxa,-0.2926829268,-0.0243902439
58,angico,cating,taxa,-0.0365853659,0
58,angico,aroeira,taxa,-0.1219512195,0.012195122
85,angico,angico,taxa,-0.0609756098,-0.2682926829
85,angico,cating,taxa,-0.0487804878,0.012195122
85,angico,aroeira,taxa,-0.2608695652,-0.1304347826
144,angico,angico,taxa,-0.1707317073,-0.3780487805
144,angico,cating,taxa,-0.0243902439,-0.012195122
144,angico,aroeira,taxa,-0.5277777778,0.0555555556
113,algodao,angico,taxa,-0.2195121951,-0.756097561
113,algodao,cating,taxa,-0.0487804878,-0.1585365854
113,algodao,aroeira,taxa,-0.1739130435,-0.6956521739
123,algodao,angico,taxa,-0.0975609756,-0.4024390244
123,algodao,cating,taxa,-0.05,0.05
123,algodao,aroeira,taxa,-0.1956521739,-0.7608695652
122,algodao,angico,taxa,-0.1097560976,-0.012195122
122,algodao,cating,taxa,-0.0533333333,-0.1466666667
122,algodao,aroeira,taxa,-0.1341463415,-0.3414634146
156,algodao,angico,taxa,-0.0731707317,0.012195122
156,algodao,cating,taxa,-0.0666666667,0.2933333333
156,algodao,aroeira,taxa,-0.1097560976,-0.012195122
157,algodao,angico,taxa,-0.0853658537,-0.256097561
157,algodao,cating,taxa,-0.0243902439,0.012195122
157,algodao,aroeira,taxa,-0.1066666667,-0.04
41,burra,angico,taxa,-0.0487804878,-0.0243902439
41,burra,cating,taxa,-0.012195122,-0.3902439024
41,burra,aroeira,taxa,-0.1219512195,-0.0243902439
102,burra,angico,taxa,-0.0975609756,0
102,burra,cating,taxa,-0.0243902439,-0.1219512195
102,burra,aroeira,taxa,-0.0731707317,0.1463414634
81,burra,angico,taxa,-0.0975609756,0
81,burra,cating,taxa,-0.0487804878,-0.012195122
81,burra,aroeira,taxa,-0.1219512195,-0.012195122
88,burra,angico,taxa,-0.0365853659,0.012195122
88,burra,cating,taxa,-0.0365853659,-0.0365853659
88,burra,aroeira,taxa,-0.1097560976,0
128,burra,angico,taxa,-0.0609756098,0.0243902439
128,burra,cating,taxa,-0.0243902439,0
128,burra,aroeira,taxa,-0.1463414634,-0.0243902439
30,catanduva,angico,taxa,-0.1585365854,-0.4146341463
30,catanduva,cating,taxa,-0.0487804878,-0.3170731707
30,catanduva,aroeira,taxa,-0.2166666667,0
43,catanduva,angico,taxa,-0.0434782609,0.1304347826
43,catanduva,cating,taxa,-0.0365853659,-0.3658536585
43,catanduva,aroeira,taxa,-0.1341463415,0.0487804878
108,catanduva,angico,taxa,-0.12,-0.3066666667
108,catanduva,cating,taxa,-0.0365853659,-0.2682926829
108,catanduva,aroeira,taxa,-0.4,-0.04
65,catanduva,angico,taxa,-0.0365853659,-0.012195122
65,catanduva,cating,taxa,-0.1086956522,-0.4130434783
65,catanduva,aroeira,taxa,-0.1219512195,-0.012195122
131,catanduva,angico,taxa,-0.12,0
131,catanduva,cating,taxa,-0.0243902439,-0.012195122
131,catanduva,aroeira,taxa,-0.0975609756,-0.0243902439
21,catingueira,angico,taxa,-0.0609756098,-0.4024390244
21,catingueira,cating,taxa,-0.0609756098,0.012195122
21,catingueira,aroeira,taxa,-0.1739130435,-0.0217391304
35,catingueira,angico,taxa,-0.0731707317,0.0243902439
35,catingueira,cating,taxa,-0.0731707317,0.012195122
35,catingueira,aroeira,taxa,-0.1097560976,-0.012195122
64,catingueira,angico,taxa,-0.0487804878,-0.3048780488
64,catingueira,cating,taxa,-0.012195122,-0.012195122
64,catingueira,aroeira,taxa,-0.75,-0.3125
95,catingueira,angico,taxa,-0.1341463415,-0.012195122
95,catingueira,cating,taxa,-0.0243902439,0
95,catingueira,aroeira,taxa,-0.0975609756,-0.0243902439
127,catingueira,angico,taxa,-0.2195121951,0
127,catingueira,cating,taxa,-0.0365853659,0
127,catingueira,aroeira,taxa,-0.0975609756,0.012195122
97,cumaru,angico,taxa,-0.1219512195,0.012195122
97,cumaru,cating,taxa,-0.0365853659,-0.3780487805
97,cumaru,aroeira,taxa,-0.1219512195,-0.0609756098
149,cumaru,angico,taxa,-0.12,-0.2
149,cumaru,cating,taxa,-0.0609756098,0
149,cumaru,aroeira,taxa,-0.2727272727,-0.0303030303
100,cumaru,angico,taxa,-0.1097560976,-0.5975609756
100,cumaru,cating,taxa,-0.0731707317,-0.012195122
100,cumaru,aroeira,taxa,-0.2727272727,-1
53,cumaru,angico,taxa,-0.1707317073,-0.6707317073
53,cumaru,cating,taxa,-0.0365853659,0.0243902439
53,cumaru,aroeira,taxa,-0.3939393939,-0.0606060606
23,cumaru,angico,taxa,-0.0243902439,-0.3536585366
23,cumaru,cating,taxa,-0.0243902439,0.012195122
23,cumaru,aroeira,taxa,-0.1466666667,-0.4933333333
138,favelinha,angico,taxa,-0.0975609756,-0.1341463415
138,favelinha,cating,taxa,-0.1086956522,-0.2391304348
138,favelinha,aroeira,taxa,-0.0975609756,0
124,favelinha,angico,taxa,-0.0853658537,-0.2073170732
124,favelinha,cating,taxa,-0.012195122,0
124,favelinha,aroeira,taxa,-0.52,0
153,favelinha,angico,taxa,-0.1463414634,0.0243902439
153,favelinha,cating,taxa,-0.0487804878,-0.2926829268
153,favelinha,aroeira,taxa,-0.1097560976,0
154,favelinha,angico,taxa,-0.0833333333,-0.5166666667
154,favelinha,cating,taxa,-0.0365853659,0
154,favelinha,aroeira,taxa,-0.1466666667,0.04
155,favelinha,angico,taxa,-0.0853658537,-0.3292682927
155,favelinha,cating,taxa,-0.0243902439,0.0487804878
155,favelinha,aroeira,taxa,-0.3333333333,0.0606060606
24,feijao,angico,taxa,-0.2317073171,-0.4756097561
24,feijao,cating,taxa,-0.0243902439,-0.0243902439
24,feijao,aroeira,taxa,-0.48,-1.68
67,feijao,angico,taxa,-0.0243902439,0.012195122
67,feijao,cating,taxa,-0.0606060606,-0.0303030303
67,feijao,aroeira,taxa,-0.1097560976,0.0365853659
75,feijao,angico,taxa,-0.1097560976,-0.3170731707
75,feijao,cating,taxa,-0.0609756098,-0.3658536585
75,feijao,aroeira,taxa,-0.12,0.0133333333
80,feijao,angico,taxa,-0.0933333333,-0.56
80,feijao,cating,taxa,-0.0365853659,-0.256097561
80,feijao,aroeira,taxa,-0.2121212121,-0.0606060606
134,feijao,angico,taxa,-0.12,-0.4533333333
134,feijao,cating,taxa,-0.0243902439,-0.0243902439
134,feijao,aroeira,taxa,-0.12,-0.0133333333
27,imbiratanha,angico,taxa,-0.1097560976,0.0243902439
27,imbiratanha,cating,taxa,-0.0609756098,0.012195122
27,imbiratanha,aroeira,taxa,-0.0975609756,0
150,imbiratanha,angico,taxa,-0.0487804878,-0.012195122
150,imbiratanha,cating,taxa,-0.0243902439,0.0365853659
150,imbiratanha,aroeira,taxa,-0.0853658537,0.0365853659
73,imbiratanha,angico,taxa,-0.1341463415,-0.012195122
73,imbiratanha,cating,taxa,-0.0487804878,-0.3048780488
73,imbiratanha,aroeira,taxa,-0.1097560976,-0.3902439024
78,imbiratanha,angico,taxa,-0.1956521739,-0.0434782609
78,imbiratanha,cating,taxa,-0.0666666667,-0.28
