id,nurse,target,tempo,var,indice,value
68,jubranca,aroeira,temp1,altura,RII,-0.2173913043
22,jupreta,angico,temp1,altura,RII,-0.1948051948
22,jupreta,cating,temp1,altura,RII,0.1470588235
22,jupreta,aroeira,temp1,altura,RII,0.1267605634
98,jupreta,angico,temp1,altura,RII,0.3947368421
98,jupreta,cating,temp1,altura,RII,-0.4947368421
98,jupreta,aroeira,temp1,altura,RII,0.0434782609
20,jupreta,angico,temp1,altura,RII,0.0149253731
20,jupreta,cating,temp1,altura,RII,0.1785714286
20,jupreta,aroeira,temp1,altura,RII,-0.0163934426
126,jupreta,angico,temp1,altura,RII,0.125
126,jupreta,cating,temp1,altura,RII,0.1666666667
126,jupreta,aroeira,temp1,altura,RII,-0.1594202899
125,jupreta,angico,temp1,altura,RII,0.2151898734
125,jupreta,cating,temp1,altura,RII,0.0769230769
125,jupreta,aroeira,temp1,altura,RII,0
25,marmeleiro,angico,temp1,altura,RII,0.0882352941
25,marmeleiro,cating,temp1,altura,RII,0
25,marmeleiro,aroeira,temp1,altura,RII,-0.0422535211
48,marmeleiro,angico,temp1,altura,RII,-0.3870967742
48,marmeleiro,cating,temp1,altura,RII,0
48,marmeleiro,aroeira,temp1,altura,RII,0.12
51,marmeleiro,angico,temp1,altura,RII,0.0943396226
51,marmeleiro,cating,temp1,altura,RII,0.1212121212
51,marmeleiro,aroeira,temp1,altura,RII,0.2063492063
61,marmeleiro,angico,temp1,altura,RII,0.0625
61,marmeleiro,cating,temp1,altura,RII,0.1875
