plot,nurse,target,tempo,altura,folha
28,paubranco,angico,temp1,0.1612903226,0.6
28,paubranco,angico,temp2,0.1525423729,-0.5384615385
28,paubranco,angico,temp3,0.1428571429,-0.4545454545
28,paubranco,angico,temp4,0.2,-0.1428571429
28,paubranco,angico,temp5,-1,-1
28,paubranco,angico,temp6,-1,-1
28,paubranco,angico,temp7,-1,-1
28,paubranco,angico,temp8,-1,-1
28,paubranco,angico,temp9,-1,-1
28,paubranco,aroeira,temp1,0.4,0.2857142857
28,paubranco,aroeira,temp2,0.186440678,0.3076923077
28,paubranco,aroeira,temp3,0.1578947368,-0.8
28,paubranco,aroeira,temp4,0.1475409836,-0.6666666667
28,paubranco,aroeira,temp5,0.1475409836,-0.3333333333
28,paubranco,aroeira,temp6,0.1525423729,0
28,paubranco,aroeira,temp7,0.1666666667,0
28,paubranco,aroeira,temp8,0.1612903226,0.5
28,paubranco,aroeira,temp9,0,0.2068965517
28,paubranco,cating,temp1,-0.0877192982,0.25
28,paubranco,cating,temp2,-0.0169491525,0.25
28,paubranco,cating,temp3,-0.0344827586,0.25
28,paubranco,cating,temp4,-0.0666666667,0.3333333333
28,paubranco,cating,temp5,-0.0333333333,0.3333333333
28,paubranco,cating,temp6,-0.0344827586,0
28,paubranco,cating,temp7,-0.0877192982,0.5
28,paubranco,cating,temp8,-0.0689655172,0
28,paubranco,cating,temp9,0,-0.0689655172
30,catanduva,angico,temp1,-0.2830188679,-0.5294117647
30,catanduva,angico,temp2,-0.064516129,-0.4285714286
30,catanduva,angico,temp3,-0.2452830189,-0.1428571429
30,catanduva,angico,temp4,-0.2549019608,0.4285714286
30,catanduva,angico,temp5,-0.2222222222,0.6666666667
30,catanduva,angico,temp6,-0.2452830189,0.6
30,catanduva,angico,temp7,-0.2452830189,0.6666666667
30,catanduva,angico,temp8,1,1
30,catanduva,angico,temp9,1,1
30,catanduva,aroeira,temp1,0.0352941176,-0.1666666667
30,catanduva,aroeira,temp2,0.0930232558,-0.2173913043
30,catanduva,aroeira,temp3,0.0786516854,-0.2631578947
30,catanduva,aroeira,temp4,0.0574712644,0.4285714286
30,catanduva,aroeira,temp5,0.0786516854,-0.2
30,catanduva,aroeira,temp6,0.0804597701,-0.5
30,catanduva,aroeira,temp7,0.0697674419,-0.3333333333
30,catanduva,aroeira,temp8,0.0786516854,-0.5
30,catanduva,aroeira,temp9,0,0.0574712644
30,catanduva,cating,temp1,0.0188679245,-0.1428571429
30,catanduva,cating,temp2,0.1186440678,-0.1428571429
30,catanduva,cating,temp3,0.0740740741,0.2
30,catanduva,cating,temp4,0.1428571429,0.2
30,catanduva,cating,temp5,0.0877192982,0.5
30,catanduva,cating,temp6,0.0566037736,0.5
30,catanduva,cating,temp7,1,1
30,catanduva,cating,temp8,1,1
30,catanduva,cating,temp9,1,1
32,umbu,angico,temp1,-0.1388888889,-0.0476190476
32,umbu,angico,temp2,-0.0588235294,-0.1111111111
