plot	nurse	target	tempo	altura_imp	altura_rii	folhas_imp	folhas_rii
111	angico	aroeira	4	-0.5	-0.2	-0.666666667	-0.6
111	angico	aroeira	6	-0.476190476	-0.161290323	-0.4	-0.25
111	angico	aroeira	7	-0.523809524	-0.174603175	-0.4	-0.333333333
111	angico	aroeira	8	-0.456521739	-0.173553719	-0.375	-0.6
111	angico	aroeira	9	-0.636363636	-1	-0.25	-1
111	angico	cating	1	-0.5625	-0.369863014	-0.272727273	-0.333333333
111	angico	cating	2	-0.041666667	-0.010752688	-0.071428571	-0.142857143
111	angico	cating	3	-0.434782609	-0.277777778	-0.333333333	-0.666666667
111	angico	cating	4	-0.477272727	-0.28	0	0
111	angico	cating	6	-0.487804878	-0.27027027	0	0
111	angico	cating	7	-0.488372093	-0.287671233	0	0
111	angico	cating	8	-0.476744186	-0.275167785	0	0
111	angico	cating	9	-0.431818182	-0.260273973	0	0
144	angico	angico	1	0.13559322	0.166666667	0.153846154	0.25
144	angico	angico	2	0.13559322	0.173913043	0.066666667	0.142857143
144	angico	angico	3	0.086206897	0.11627907	0.090909091	0.142857143
144	angico	angico	4	0.022222222	0.018181818	0.125	0.111111111
144	angico	angico	6	0.111111111	0.130434783	0.375	0.6
144	angico	angico	7	0.122807018	0.155555556	0.130434783	0.6
144	angico	angico	8	0.120689655	0.155555556	0.25	0.333333333
144	angico	angico	9	0.103448276	0.136363636	0.038461538	0.333333333
144	angico	aroeira	1	0.25	0.072463768	-0.888888889	-0.25
144	angico	aroeira	2	-0.272727273	-0.04	-0.5	-0.212121212
144	angico	aroeira	3	0.2	0.058823529	-0.264705882	-0.36
144	angico	aroeira	4	0.238095238	0.072463768	0.1	0.2
144	angico	aroeira	6	0	0	0	0
144	angico	aroeira	7	0	0	0	0
144	angico	aroeira	8	0	0	0	0
144	angico	aroeira	9	0.086956522	0.028571429	0	0
144	angico	cating	1	0.13559322	0.166666667	0.153846154	0.25
144	angico	cating	2	0.13559322	0.173913043	0.066666667	0.142857143
144	angico	cating	3	0.086206897	0.11627907	0.090909091	0.142857143
144	angico	cating	4	0.022222222	0.018181818	0.125	0.111111111
144	angico	cating	6	0.111111111	0.130434783	0.375	0.6
144	angico	cating	7	0.122807018	0.155555556	0.130434783	0.6
144	angico	cating	8	0.120689655	0.155555556	0.25	0.333333333
144	angico	cating	9	0.103448276	0.136363636	0.038461538	0.333333333
41	burra	angico	1	-0.025641026	-0.015384615	0.25	0.5
41	burra	angico	2	0.137254902	0.118644068	0.210526316	0.5
41	burra	angico	3	0.12	0.096774194	0.083333333	0.2
41	burra	angico	4	0.117647059	0.103448276	0	0
41	burra	angico	6	0.127659574	0.1	0	0
41	burra	angico	7	0.125	0.1	0	0
41	burra	angico	8	0.104166667	0.084745763	0	0
41	burra	angico	9	0.292929293	0.935483871	0.5	0.925925926
41	burra	aroeira	1	0.111111111	0.03125	0	0
41	burra	aroeira	2	0.136363636	0.050847458	-0.2	-0.222222222
41	burra	aroeira	3	-0.05	-0.01754386	-0.105263158	-0.333333333
41	burra	aroeira	4	0.05	0.016949153	-0.333333333	-0.428571429
41	burra	aroeira	6	0.1	0.033333333	-0.142857143	-0.333333333
41	burra	aroeira	7	0.055555556	0.016393443	0.142857143	0.333333333
41	burra	aroeira	8	0.078947368	0.024	0	0
41	burra	aroeira	9	-0.527272727	-1	-0.25	-1
41	burra	cating	1	-0.025641026	-0.015384615	0.25	0.5
41	burra	cating	2	0.137254902	0.118644068	0.210526316	0.5
41	burra	cating	3	0.12	0.096774194	0.083333333	0.2
41	burra	cating	4	0.117647059	0.103448276	0	0
41	burra	cating	6	0.127659574	0.1	0	0
41	burra	cating	7	0.125	0.1	0	0
41	burra	cating	8	0.104166667	0.084745763	0	0
41	burra	cating	9	0.292929293	0.935483871	0.5	0.925925926
81	burra	angico	1	0.068965517	0.105263158	-0.1	-0.111111111
81	burra	angico	2	0.114754098	0.179487179	-0.076923077	-0.111111111
81	burra	angico	3	0.06779661	0.105263158	-0.090909091	-0.2
81	burra	angico	4	0.098360656	0.157894737	-0.111111111	-0.2
81	burra	angico	6	0.072727273	0.105263158	-0.2	-0.333333333
81	burra	angico	7	0.072727273	0.1	0	0
81	burra	angico	8	0.071428571	0.1	0	0
81	burra	angico	9	0.083333333	0.135135135	0	0
81	burra	aroeira	1	0.260869565	0.090909091	-0.166666667	-0.1
81	burra	aroeira	2	0.307692308	0.121212121	-0.111111111	-0.1
81	burra	aroeira	3	0.269230769	0.107692308	-0.078947368	-0.272727273
81	burra	aroeira	4	0.352941176	0.1875	-0.111111111	-0.2
81	burra	aroeira	6	0.333333333	0.134328358	0.125	0.333333333
81	burra	aroeira	7	0.333333333	0.134328358	0.142857143	0.333333333
81	burra	aroeira	8	0.296296296	0.121212121	0.111111111	0.333333333
81	burra	aroeira	9	0.235294118	0.121212121	0	0
81	burra	cating	1	0.068965517	0.105263158	-0.1	-0.111111111
81	burra	cating	2	0.114754098	0.179487179	-0.076923077	-0.111111111
81	burra	cating	3	0.06779661	0.105263158	-0.090909091	-0.2
81	burra	cating	4	0.098360656	0.157894737	-0.111111111	-0.2
81	burra	cating	6	0.072727273	0.105263158	-0.2	-0.333333333
81	burra	cating	7	0.072727273	0.1	0	0
81	burra	cating	8	0.071428571	0.1	0	0
81	burra	cating	9	0.083333333	0.135135135	0	0
88	burra	angico	1	0.202898551	0.304347826	0.090909091	0.111111111
88	burra	angico	2	0.171875	0.244444444	0.066666667	0.142857143
88	burra	angico	3	0.173913043	0.285714286	0.090909091	0.142857143
88	burra	angico	4	0.197183099	0.333333333	-0.2	-0.5
88	burra	angico	6	0.231884058	0.347826087	-0.2	-0.333333333
88	burra	angico	7	0.24	0.428571429	0	0
88	burra	angico	8	0.214285714	0.333333333	0	0
88	burra	angico	9	0.216216216	0.380952381	0	0
88	burra	aroeira	1	-0.272727273	-0.04	0.083333333	0.047619048
88	burra	aroeira	2	-0.384615385	-0.068493151	0.105263158	0.090909091
88	burra	aroeira	3	-0.230769231	-0.04109589	0	0
88	burra	aroeira	4	-0.307692308	-0.054054054	0.166666667	0.5
88	burra	aroeira	6	-0.333333333	-0.054054054	0	0
88	burra	aroeira	7	-0.333333333	-0.054054054	0	0
88	burra	aroeira	8	-0.25	-0.04	0	0
88	burra	aroeira	9	-0.157894737	-0.04	0	0
88	burra	cating	1	0.202898551	0.304347826	0.090909091	0.111111111
88	burra	cating	2	0.171875	0.244444444	0.066666667	0.142857143
88	burra	cating	3	0.173913043	0.285714286	0.090909091	0.142857143
88	burra	cating	4	0.197183099	0.333333333	-0.2	-0.5
88	burra	cating	6	0.231884058	0.347826087	-0.2	-0.333333333
88	burra	cating	7	0.24	0.428571429	0	0
88	burra	cating	8	0.214285714	0.333333333	0	0
88	burra	cating	9	0.216216216	0.380952381	0	0
102	burra	angico	1	-0.027777778	-0.014084507	0	0
102	burra	angico	2	0.132075472	0.127272727	-0.142857143	-0.25
102	burra	angico	3	0.140350877	0.148148148	-0.2	-0.25
102	burra	angico	4	0.102040816	0.084745763	-0.25	-0.25
102	burra	angico	6	0.127659574	0.1	-0.4	-0.5
102	burra	angico	7	0.12244898	0.103448276	0	0
102	burra	angico	8	0.137254902	0.118644068	0	0
102	burra	angico	9	0.1	0.087719298	0	0
102	burra	aroeira	1	0.425	0.261538462	0.176470588	0.176470588
102	burra	aroeira	2	0.214285714	0.04	0.090909091	0.125
102	burra	aroeira	3	0.071428571	0.014084507	-0.170731707	-0.777777778
102	burra	aroeira	4	0.2	0.04	-0.666666667	-0.6
102	burra	aroeira	6	0.153846154	0.027027027	-0.285714286	-0.5
102	burra	aroeira	7	0.1	0.012987013	-0.333333333	-0.5
102	burra	aroeira	8	0.153846154	0.026315789	-0.25	-0.5
102	burra	aroeira	9	0.136363636	0.04	0	0
102	burra	cating	1	-0.027777778	-0.014084507	0	0
102	burra	cating	2	0.132075472	0.127272727	-0.142857143	-0.25
102	burra	cating	3	0.140350877	0.148148148	-0.2	-0.25
102	burra	cating	4	0.102040816	0.084745763	-0.25	-0.25
102	burra	cating	6	0.127659574	0.1	-0.4	-0.5
102	burra	cating	7	0.12244898	0.103448276	0	0
102	burra	cating	8	0.137254902	0.118644068	0	0
102	burra	cating	9	0.1	0.087719298	0	0
128	burra	angico	1	0.122807018	0.142857143	0.083333333	0.142857143
128	burra	angico	2	0.140350877	0.16	0.125	0.25
128	burra	angico	3	0.163934426	0.192307692	0.166666667	0.25
128	burra	angico	4	0.166666667	0.192307692	0.2	0.25
128	burra	angico	6	0.196721311	0.24	0	0
128	burra	angico	7	0	0	0	0
128	burra	angico	8	0.142857143	0.153846154	0	0
128	burra	angico	9	0.152542373	0.176470588	0	0
128	burra	aroeira	1	0.277777778	0.068493151	-0.111111111	-0.04
128	burra	aroeira	2	0.222222222	0.057142857	-0.1875	-0.12
128	burra	aroeira	3	0.157894737	0.044776119	-0.147058824	-0.238095238
128	burra	aroeira	4	0.071428571	0.014084507	-0.625	-0.454545455
128	burra	aroeira	6	0.176470588	0.043478261	0.125	0.333333333
128	burra	aroeira	7	0.176470588	0.043478261	0.142857143	0.333333333
128	burra	aroeira	8	0.375	0.245901639	0.111111111	0.333333333
128	burra	aroeira	9	0.178571429	0.072463768	0	0
128	burra	cating	1	0.122807018	0.142857143	0.083333333	0.142857143
128	burra	cating	2	0.140350877	0.16	0.125	0.25
128	burra	cating	3	0.163934426	0.192307692	0.166666667	0.25
128	burra	cating	4	0.166666667	0.192307692	0.2	0.25
128	burra	cating	6	0.196721311	0.24	0	0
128	burra	cating	7	0	0	0	0
128	burra	cating	8	0.142857143	0.153846154	0	0
128	burra	cating	9	0.152542373	0.176470588	0	0
30	catanduva	angico	1	0.02173913	0.018867925	-0.090909091	-0.142857143
30	catanduva	angico	2	0.137254902	0.118644068	-0.071428571	-0.142857143
30	catanduva	angico	3	0.078431373	0.074074074	0.083333333	0.2
30	catanduva	angico	4	0.145454545	0.142857143	0.1	0.2
30	catanduva	angico	6	0.065217391	0.056603774	0.285714286	0.5
30	catanduva	angico	7	0.31	1	0.086956522	1
30	catanduva	angico	8	0.31372549	1	0.333333333	1
30	catanduva	angico	9	0.297029703	1	0.037037037	1
30	catanduva	aroeira	1	0.333333333	0.035294118	-0.363636364	-0.166666667
30	catanduva	aroeira	2	0.5	0.093023256	-0.277777778	-0.217391304
30	catanduva	aroeira	3	0.5	0.078651685	-0.142857143	-0.263157895
30	catanduva	aroeira	4	0.416666667	0.057471264	0.25	0.428571429
30	catanduva	aroeira	6	0.5	0.08045977	-0.285714286	-0.5
30	catanduva	aroeira	7	0.461538462	0.069767442	-0.166666667	-0.333333333
30	catanduva	aroeira	8	0.5	0.078651685	-0.25	-0.5
30	catanduva	aroeira	9	0.263157895	0.057471264	0	0
30	catanduva	cating	1	0.02173913	0.018867925	-0.090909091	-0.142857143
30	catanduva	cating	2	0.137254902	0.118644068	-0.071428571	-0.142857143
30	catanduva	cating	3	0.078431373	0.074074074	0.083333333	0.2
30	catanduva	cating	4	0.145454545	0.142857143	0.1	0.2
30	catanduva	cating	6	0.065217391	0.056603774	0.285714286	0.5
30	catanduva	cating	7	0.31	1	0.086956522	1
30	catanduva	cating	8	0.31372549	1	0.333333333	1
30	catanduva	cating	9	0.297029703	1	0.037037037	1
43	catanduva	angico	1	-0.280701754	-0.363636364	0.083333333	0.142857143
